CID,CIDint,IDSURVEY,TYPE,FIELD,zHD,zHDERR,z,zERR,HOST_LOGMASS,HOST_LOGMASS_ERR,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DECL,TGAPMAX,MU,MUERR,MUERR_NOSIGMB,MURES,MUPULL,sbar,cbar,ERRCODE,Unnamed: 41
13136,13136,1,120,82S,0.37046,1e-05,0.37206,1e-05,11.433,0.093,8.3099,6.7856,5.0365,53993.973,1.1179999999999999,0.8068,0.9151,-0.1075,0.0627302,21.9843037112,0.0721414,2.88591372264e-05,1.8824900000000003e-06,0.015213599999999999,-9.81446e-07,-4.21734e-08,67,50.8224,0.9407,6.140621,-0.279119,-0.279119,,41.7577,0.2157,0.2157,0.259,1.203,0.213,-0.06,0
13152,13152,1,120,82S,0.20215,1e-05,0.20355,1e-05,9.387,0.096,31.908,27.8134,19.3489,54001.219000000005,0.201,0.2821,0.2526,0.0149946,0.0293805,20.4127835352,0.0348017,0.000122713099078,4.0830099999999996e-06,0.000918106,-3.76487e-07,-9.21768e-08,47,49.4247,0.3766,7.0520059999999996,0.117933,0.117933,,39.733,0.077,0.077,-0.265,-3.4389999999999996,0.705,-0.063,0
13254,13254,1,120,82S,0.1799,1e-05,0.18075,1e-05,10.005,0.062,18.0555,16.9238,11.3675,53994.203,0.628,0.5365,0.41,0.092696,0.0380521,20.9138117253,0.0507065,7.735004423399999e-05,3.82108e-06,0.000645339,-1.72236e-07,-1.04488e-07,56,55.0807,0.5474,42.058597999999996,-0.347114,-0.347114,,40.0288,0.1054,0.1054,0.318,3.0189999999999997,-0.147,0.17600000000000002,0
13411,13411,1,120,82S,0.1618,1e-05,0.163,1e-05,8.922,0.13,29.3183,25.8234,17.1929,53987.48,0.305,1.8296,0.3804,0.0161548,0.0353564,19.9659962373,0.0665674,0.00018517930081999998,1.0731700000000001e-05,0.00378149,-2.26658e-06,-2.75984e-07,47,33.3822,0.933,-44.810089000000005,0.19162,0.19162,,39.4993,0.096,0.096,0.037000000000000005,0.38,1.746,0.023,0
13425,13425,1,120,82S,0.21114000000000002,1e-05,0.21261,1e-05,10.363,0.148,10.5792,9.0375,8.4647,53992.996,1.171,-0.953076,0.6011,0.2542,0.059171400000000006,21.8460228881,0.07976939999999999,3.2779965258e-05,3.14558e-06,0.00286465,-3.66139e-07,-1.33796e-07,39,24.4765,0.9664,-21.458405,0.054955,0.054955,,40.2517,0.1582,0.1582,0.14800000000000002,0.9359999999999999,-1.2690000000000001,0.29,0
13578,13578,1,120,82N,0.22669,1e-05,0.228,1e-05,9.121,0.11,24.0937,16.6645,12.4181,53998.765999999996,0.40299999999999997,-0.183874,0.3823,-0.0407799,0.036701,20.8112197327,0.041805400000000006,8.50179854113e-05,3.38949e-06,0.00136636,-5.0042e-07,-7.94773e-08,41,30.9568,0.8954,17.39463,0.704045,0.704045,,40.2391,0.1095,0.1095,-0.035,-0.32299999999999995,-0.115,-0.05,0
13610,13610,1,120,82N,0.29683000000000004,1e-05,0.29830999999999996,1e-05,10.471,0.094,16.9133,13.3519,8.0093,53997.008,0.27399999999999997,0.1648,0.549,-0.0989307,0.042403699999999996,21.0906169379,0.0529244,6.57259546286e-05,3.2135300000000002e-06,0.00171539,-7.82997e-07,-6.75455e-08,65,33.8715,0.9996,-33.985352,0.726163,0.726163,,40.7476,0.1457,0.1457,-0.193,-1.3219999999999998,0.62,-0.13699999999999998,0
13689,13689,1,120,82N,0.25029,1e-05,0.25177,1e-05,10.45,0.07,25.8258,18.6884,11.7448,54000.164000000004,0.5,1.1847,0.3916,-0.14896800000000002,0.03716780000000001,20.577165582,0.042531,0.00010547378072900002,3.7844800000000002e-06,0.00187453,-6.19743e-07,-8.863590000000001e-08,42,27.0187,0.9647,4.016017,0.807471,0.807471,,40.532,0.1109,0.1109,0.013999999999999999,0.12300000000000001,1.162,-0.146,0
13736,13736,1,120,82S,0.14882,1e-05,0.15020999999999998,1e-05,9.678,0.08,43.4166,37.4233,21.6847,54015.793,0.132,1.1266,0.1685,-0.025109,0.0245808,19.6900179478,0.0457892,0.00023878676456599998,1.01234e-05,0.000419461,-3.51855e-07,-1.78553e-07,68,90.0451,0.0380725,-23.166748000000002,1.0308950000000001,1.0308950000000001,,39.2527,0.0594,0.0594,-0.015,-0.259,1.147,-0.03,0
13796,13796,1,120,82S,0.14729,1e-05,0.1487,1e-05,10.325,0.055,54.2791,47.1945,26.4573,54010.460999999996,0.11900000000000001,0.8018,0.119,-0.0199961,0.00457786,19.5649249042,0.0243703,0.000267930706534,6.05136e-06,7.30301e-06,-1.08398e-07,-5.8628e-09,65,42.0142,0.9881,-9.308502,0.532802,0.532802,,39.0664,0.0324,0.0324,-0.17800000000000002,-5.486000000000001,1.2109999999999999,-0.027000000000000003,0
14019,14019,1,120,82S,0.21513000000000002,1e-05,0.2164,1e-05,9.931,0.093,11.732,10.4872,7.4446,54012.195,0.418,-0.30688699999999997,0.4143,-0.0264687,0.048489599999999994,21.1833278368,0.0686268,6.03511331529e-05,4.0144300000000005e-06,0.00452648,-6.691899999999999e-07,-1.28276e-07,59,43.7021,0.9437,-43.357665999999995,-0.647988,-0.647988,,40.5496,0.1277,0.1277,0.40299999999999997,3.154,-0.8490000000000001,0.081,0
14024,14024,1,120,82S,0.14478,1e-05,0.146,1e-05,8.934,0.198,23.0717,19.7108,14.6349,54011.168,0.212,-1.9216400000000002,0.2009,0.032387200000000005,0.0358546,20.223284002,0.07165650000000001,0.000146105348046,1.0178500000000001e-05,0.000837442,-2.33753e-07,-2.69579e-07,77,38.5362,0.9999,-41.801483000000005,0.916269,0.916269,,39.1811,0.0788,0.0788,-0.02,-0.248,-1.906,0.026000000000000002,0
